Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
"Women, Business and the Law",World Bank,Hungary,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Iceland,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,India,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Indonesia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Ireland,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Israel,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Italy,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Jamaica,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Japan,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Kazakhstan,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Kenya,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Kiribati,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,"Korea, Rep.",2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Kosovo,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Kyrgyz Republic,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Lao Pdr,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Latvia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Lebanon,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Lesotho,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Liberia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Libya,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Lithuania,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Luxembourg,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Madagascar,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Malawi,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Maldives,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mali,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Malta,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Marshall Islands,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mauritania,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mauritius,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mexico,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,"Micronesia, Fed. Sts.",2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Moldova,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mongolia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Montenegro,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Morocco,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Mozambique,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Myanmar,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Namibia,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Nepal,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Netherlands,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,New Zealand,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Nicaragua,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Niger,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,Nigeria,2024,Latest,Can a woman travel outside her home in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
