Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Can a woman work in a job deemed dangerous in the same way as a man?,"A Score Of 1 Is Assigned If No Laws Prohibit Or Restrict Nonpregnant And Nonnursing Women From Working In A Broad And Subjective Category Of Jobs Deemed “Hazardous,” “Arduous,” Or “Morally Inappropriate.” A Score Of 0 Is Assigned If The Law Prohibits Or Restricts Women From Working In Jobs Deemed Hazardous, Arduous, Or Morally Inappropriate. A Score Of 0 Is Also Assigned If The Employer Or Relevant Authority Can Determine Whether Particular Jobs Are Too Hazardous, Arduous, Or Morally Inappropriate For Women But Not For Men, Regardless Of The Content Of Any Decisions Issued By That Employer Or Authority.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Can a woman work in an industrial job in the same way as a man?,"A Score Of 1 Is Assigned If Nonpregnant And Non-Nursing Women Can Work In The Mining, Construction, Manufacturing, Energy, Water, Agriculture, And Transportation Industries In The Same Way As Men. A Score Of 0 Is Assigned If The Law Prohibits Women From Working In These Industries. A Score Of 0 Is Also Assigned If Women’S Employment In The Relevant Industries Is Restricted In Any Way, Such As By Prohibiting Women From Working At Night In “Industrial Undertakings,” Or By Giving The Relevant Authority The Power To Prohibit Or Restrict Women From Working In Certain Jobs Or Industries, Regardless Of The Content Of Any Decisions Issued By That Authority.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Do men and women have equal ownership rights to immovable property?,"A Score Of 1 Is Assigned If There Are No Restrictions On Women’S Legal Capacity And Rights To Immovable Property. A Score Of 0 Is Assigned If Women’S Rights To Own Or Administer Property Are Legally Restricted. A Score Of 0 Is Also Assigned If There Are Gender Differences In The Legal Treatment Of Spousal Property, Such As Granting The Husband Administrative Control Of Marital Property. This Includes Instances In Which Legal Systems Are Supported By Custom And Judicial Precedent.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the law grant spouses equal administrative authority over assets during marriage?,"A Score Of 1 Is Assigned If Spouses Retain Administrative Power Over The Assets Each Brought To The Marriage Or Acquired During Marriage, And Their Accrued Value, Without The Need For Spousal Consent. A Score Of 1 Is Also Assigned If Spouses Administer Their Separate Property, But For Major Transactions, Such As Selling Or Pledging The Property As Collateral, Spousal Consent Is Required, Or If Both Spouses Have Equal Rights In The Administration And Transaction Of Joint Property. A Score Of 0 Is Assigned If The Husband Has Administrative Rights Over All Property, Including Any Separate Property Of The Wife.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the law mandate equal remuneration for work of equal value?,"“Remuneration” Refers To The Ordinary, Basic, Or Minimum Wage Or Salary And Any Additional Emoluments Payable Directly Or Indirectly, Whether In Cash Or In Kind, By The Employer To The Worker And Arising From The Worker’S Employment. “Work Of Equal Value” Refers Not Only To The Same Or Similar Jobs But Also To Different Jobs Of The Same Value. A Score Of 1 Is Assigned If Employers Are Legally Obliged To Pay Equal Remuneration To Male And Female Employees Who Perform Work Of Equal Value In Accordance With These Definitions. A Score Of 0 Is Assigned If The Law Limits The Principle Of Equal Remuneration To Equal Work, The Same Work, Similar Work, Or Work Of A Similar Nature. A Score Of 0 Is Also Assigned If The Law Limits The Broad Concept Of “Remuneration” To Only Basic Wages Or Salary, Or If The Law Limits The Principle Of Equal Remuneration For Work Of Equal Value To The Same Place Of Business Or Same Employer.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the law prohibit discrimination in access to credit based on gender?,"A Score Of 1 Is Assigned If The Law Prohibits Discrimination By Creditors Based On Sex Or Gender Or Prescribes Equal Access For Both Men And Women When Conducting Financial Transactions Or Entrepreneurial Activities Or Receiving Financial Assistance. A Score Of 1 Is Also Assigned If The Law Prohibits Gender Discrimination When Accessing Goods And Services (And Services Are Defined To Include Financial Services). A Score Of 0 Is Assigned If The Law Does Not Prohibit Such Discrimination, Or If The Law Does Not Provide For Effective Remedies.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Does the law prohibit discrimination in employment based on gender?,"A Score Of 1 Is Assigned If The Law Prohibits Employers From Discriminating Based On Sex Or Gender Or Mandates Equal Treatment Of Women And Men In Employment. A Score Of 0 Is Assigned If The Law Does Not Prohibit Such Discrimination Or Only Prohibits It In One Aspect Of Employment, Such As Pay Or Dismissal.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is dismissal of pregnant workers prohibited?,"A Score Of 1 Is Assigned If The Law Explicitly Prohibits The Dismissal Of Pregnant Women, If Pregnancy Cannot Serve As Grounds For Termination Of A Contract, Or If Dismissal Of Pregnant Workers Is Considered A Form Of Unlawful Termination, Unfair Dismissal, Or Wrongful Discharge. A Score Of 0 Is Assigned If There Are No Provisions Prohibiting The Dismissal Of Pregnant Workers, Or If The Law Only Prohibits The Dismissal Of Pregnant Workers During Maternity Leave, For A Limited Period Of The Pregnancy, Or When Pregnancy Results In Illness Or Disability.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is the age at which men and women can retire with full pension benefits the same?,A Score Of 1 Is Assigned If The Statutory Age At Which Men And Women Can Retire And Receive An Irrevocable Minimum Old-Age Pension Is The Same. A Score Of 0 Is Assigned If There Is A Difference In The Statutory Age Or If There Is No Mandatory Pension Scheme Implemented For Private Sector Workers.,1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
"Women, Business and the Law",World Bank,United Arab Emirates,2024,Latest,Is the age at which men and women can retire with partial pension benefits the same?,"Partial Pension Benefits Refer To A Reduced Or Proportional Minimum Old-Age Pension Payable To Workers Who Did Not Accumulate Enough Work Experience Or Periods Of Contribution Or Have Not Reached The Statutory Age To Qualify For A Minimum Old-Age Pension. A Score Of 1 Is Assigned If The Age At Which Men And Women Can Retire And Receive Partial Pension Benefits Is The Same, Or If The Age At Which Men And Women Can Retire And Receive Partial Benefits Is Not Mandated. A Score Of 0 Is  Assigned If The Age At Which Men And Women Can Retire And Receive Partial Pension Benefits Is Different, Or If There Is No Mandatory Pension Scheme Implemented For Private Sector Workers.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratisation
